stid,diesel,e10,e5
c03613bd-c43e-4f5d-a62c-83a0a18e9ba3,1246.9389312977099237,1329.2480916030534351,1349.3625954198473282
8e92d18c-a922-480d-8e3b-b2cb5531340f,1274.9695512820512821,1368.7844551282051282,1388.7684294871794872
686b1552-ded0-4295-ae9c-30a03b3bfef0,1225.7213279678068410,1316.1338028169014085,1336.3048289738430584
a60371c7-0cd1-4ca0-83f7-c63835ef3a8c,1177.5483870967741935,1273.1935483870967742,1293.2258064516129032
fb92ed64-f7db-4966-a7c8-bd45a4bce015,1227.7018800358102059,1322.3303491495076097,1342.4109221128021486
82645ed4-94b2-4d4f-8fe9-ac1beaa8b11e,1287.4478021978021978,1331.6373626373626374,1351.6373626373626374
005056ba-7cb6-1ed2-bced-a85e880e2e53,1209.1678321678321678,1323.2307692307692308,1343.0979020979020979
8a74bed8-1f27-4635-a710-8f395558f0e0,1271.7037773359840954,1023.7448641484426773,1358.4963552021206097
00060695-0003-4444-8888-acdc00000003,1196.7272727272727273,0.00000000000000000000,0.00000000000000000000
f2c1a6bf-438e-457a-814d-b84fbe883871,1248.7867803837953092,1343.7547974413646055,1363.9466950959488273
fe50b4a5-84c9-4812-a0b7-4b29f589e1e2,1272.5858915741345526,1312.3180927498367080,1332.3180927498367080
d2ec1f9f-a632-4bfb-9b90-1e672223b0a4,1217.8908450704225352,1318.3309859154929577,1338.2605633802816901
718e1b5e-03b9-489a-8899-93b681a8376a,1255.1911976911976912,1345.4646464646464646,1365.4646464646464646
8aa18fbe-e662-4ceb-863b-923a9ac0b985,1335.6223612197028929,1389.3127443315089914,1409.3127443315089914
13403246-3807-4fc7-ae59-856171d9b149,1246.2160664819944598,1333.5013850415512465,1353.5013850415512465
00c6dc89-4575-4dc7-a63e-8cff8e8a274e,1268.0129259694477086,1333.9236192714453584,1353.8766157461809636
e0ca8ab6-7c5f-4b86-81b9-85b8e256086f,1449.4644808743169399,1508.2896174863387978,1528.2896174863387978
ff18b726-0e51-449b-b532-4079eb8971da,1239.3267605633802817,1319.3380281690140845,1357.8732394366197183
51d4b719-a095-1aa0-e100-80009459e03a,1248.6316359696641387,1322.6403033586132178,1342.6403033586132178
9084284a-4534-4ad4-a6db-ba5128e15af3,1296.0517448856799037,1351.4669073405535499,1371.4669073405535499
649847c4-3068-462f-917d-3e395ff62c81,1234.7142857142857143,0.00000000000000000000,1355.1224489795918367
9b2313d0-e715-4f86-a3ac-96da9274a0b2,1235.5429042904290429,1342.1435643564356436,1362.1435643564356436
3e72e2a4-2802-4214-b539-a178b3c44201,1271.3028673835125448,1352.5215053763440860,1372.5215053763440860
9ced8eff-4cdb-4494-bfd8-eda3dc6c636f,1232.9820143884892086,1328.3453237410071942,1348.4376498800959233
a2f61a2e-cb38-49b8-aeac-c0ead332a872,1272.3047544816835542,1347.4489477786438036,1367.4489477786438036
6453a0e0-6418-498d-b40f-b9174a940be6,1279.8562197092084006,1349.0484652665589661,1377.7318255250403877
b69ca9fa-4b2b-4552-804e-0bcde5589736,1373.6211490424646128,1457.7260616153205662,1477.7260616153205662
d2f097c6-08b3-41bc-a6c8-b97743d12a8f,1280.1709286675639300,1327.0551816958277254,1347.0551816958277254
6fcfa892-89ff-4f61-a072-2fe0442108aa,1259.9368029739776952,1333.7211895910780669,1353.7211895910780669
b737e156-adf8-41eb-81e9-dfe9e28f5047,1250.4689265536723164,1343.9717514124293785,1363.9717514124293785
4b7e7978-b9ac-4013-9c28-c6afbfd4cb2d,1263.1289933694996986,1311.6280892103676914,1331.6461723930078360
57e11dbe-2e10-426b-ae4d-a6608300231a,1279.0095057034220532,1377.2319391634980989,1397.2319391634980989
1a7080b8-af05-4eb5-967a-ca6a6d4dc4ca,1285.2523020257826888,1374.6261510128913444,1395.1878453038674033
553e94f7-94a5-4b98-918a-80e063fdcdad,1306.8092158447857720,1342.1366208569118836,1380.6410670978172999
161e3fad-a229-4e35-9d4c-d7cd729f5929,1221.9330831769856160,1311.7016885553470919,1331.6641651031894934
ef051c15-c632-4657-b6a2-29ec7d504873,1246.4632352941176471,1350.4485294117647059,1370.4485294117647059
01407f68-a0b8-43a1-f235-73f0179d99b3,1247.3177777777777778,1343.2266666666666667,1363.2311111111111111
313494b7-048b-49a0-89e3-514eeaba6ae5,1229.3294117647058824,1332.0352941176470588,1350.4588235294117647
005056ba-7cb6-1ed2-bceb-75510b488d25,1220.6372795969773300,1316.6406381192275399,1336.6406381192275399
51d4b43b-a095-1aa0-e100-80009459e03a,1222.8002980625931446,1314.3651266766020864,1334.3651266766020864
